场馆,城市,容量,上座纪录[注 1],建成年份,费用,主队,承办的大型赛事
杭州奥体中心体育场,杭州市,"80,800[1]",不详,2018年[2],25亿元[3],无,2022年亚洲运动会
广东奥林匹克体育中心,广州市,"80,012[4]",不详,2001年,12.3亿元[4],无,2001年全国运动会
广东奥林匹克体育中心,广州市,"80,012[4]",不详,2001年,12.3亿元[4],无,
广东奥林匹克体育中心,广州市,"80,012[4]",不详,2001年,12.3亿元[4],无,
广东奥林匹克体育中心,广州市,"80,012[4]",不详,2001年,12.3亿元[4],无,
广东奥林匹克体育中心,广州市,"80,012[4]",不详,2001年,12.3亿元[4],无,
广东奥林匹克体育中心,广州市,"80,012[4]",不详,2001年,12.3亿元[4],无,2009年亚洲田径锦标赛
广东奥林匹克体育中心,广州市,"80,012[4]",不详,2001年,12.3亿元[4],无,2010年亚洲运动会
国家体育场,北京市,"80,000[注 2]",89102,2008年,23亿元,无,2008年夏季奥林匹克运动会
国家体育场,北京市,"80,000[注 2]",,2008年,23亿元,无,2022年冬季奥林匹克运动会[7][8]
国家体育场,北京市,"80,000[注 2]",,2008年,23亿元,无,
国家体育场,北京市,"80,000[注 2]",,2008年,23亿元,无,
国家体育场,北京市,"80,000[注 2]",,2008年,23亿元,无,
国家体育场,北京市,"80,000[注 2]",（2008年8月23日）[6],2008年,23亿元,无,
上海体育场,上海市,"71,066[注 3][9]",46977,1997年[11],12.9亿元[11],上海申花足球俱乐部,1997年全国运动会
上海体育场,上海市,"71,066[注 3][9]",,1997年[11],12.9亿元[11],（1998年，2023年-）,钻石联赛上海站
上海体育场,上海市,"71,066[注 3][9]",,1997年[11],12.9亿元[11],上海中远足球俱乐部,2008年夏季奥林匹克运动会[12]
上海体育场,上海市,"71,066[注 3][9]",,1997年[11],12.9亿元[11],（2001年-2005年）,
上海体育场,上海市,"71,066[注 3][9]",,1997年[11],12.9亿元[11],上海上港足球俱乐部,
上海体育场,上海市,"71,066[注 3][9]",（2015年9月12日）[10],1997年[11],12.9亿元[11],（2009年-2019年）[注 4],
北京工人体育场,北京市,"68,000[13][注 5]",57056,1959年,1700万元[16],北京国安足球俱乐部,2004年亚足联亚洲杯[14]
北京工人体育场,北京市,"68,000[13][注 5]",,1959年,1700万元[16],（1996年-2005年、2009年-2019年、2023年至今）,2004年亚足联亚洲杯[14]
北京工人体育场,北京市,"68,000[13][注 5]",,1959年,1700万元[16],,2004年亚足联亚洲杯[14]
北京工人体育场,北京市,"68,000[13][注 5]",,1959年,1700万元[16],,2004年亚足联亚洲杯[14]
北京工人体育场,北京市,"68,000[13][注 5]",,1959年,1700万元[16],,2004年亚足联亚洲杯[14]
北京工人体育场,北京市,"68,000[13][注 5]",（2019年8月11日）[15],1959年,1700万元[16],,2004年亚足联亚洲杯[14]
中升梭鱼湾足球场,大连市,63671,60951,2023年,,大连英博,
中升梭鱼湾足球场,大连市,63671,,2023年,,（2023-）,
中升梭鱼湾足球场,大连市,63671,,2023年,,,
中升梭鱼湾足球场,大连市,63671,,2023年,,,
